Name,URL,Author,Price,Number of ratings,Average Rating
The Power of your Subconscious Mind,https://www.amazon.com/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,Joseph Murphy,,2898,4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck,https://www.amazon.com/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,Mark Manson,,252,4.3 out of 5 stars
Think and Grow Rich,https://www.amazon.com/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,Napoleon Hill,,2416,4.5 out of 5 stars
A Brief History of Time: From Big Bang to Black Holes,https://www.amazon.com/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1,Stephen Hawking,,527,4.5 out of 5 stars
Indian Polity 5th Edition,https://www.amazon.com/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,M. Laxmikanth,,1940,4.5 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018,https://www.amazon.com/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1,Arihant Experts,,60,4.0 out of 5 stars
Word Power Made Easy,https://www.amazon.com/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,Norman Lewis,,4752,4.4 out of 5 stars
Sapiens,https://www.amazon.com/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,Yuval Noah Harari,,901,4.6 out of 5 stars
India 2018,https://www.amazon.com/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1,Publication Division,,43,3.5 out of 5 stars
Manorama Yearbook 2018,https://www.amazon.com/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1,Mammen Mathew,,142,4.1 out of 5 stars
General Knowledge 2019,https://www.amazon.com/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1,Manohar Pandey,,43,4.2 out of 5 stars
RRB Group D Guide 2018,https://www.amazon.com/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1,Arihant Experts,,44,4.1 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success,https://www.amazon.com/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1,Sourav Ganguly,,111,4.6 out of 5 stars
The Alchemist,https://www.amazon.com/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,Paulo Coelho,,2978,4.6 out of 5 stars
Immortal Talks,https://www.amazon.com/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1,Shunya,,535,4.8 out of 5 stars
How to Win Friends and Influence People,https://www.amazon.com/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1,Dale Carnegie,,1835,4.5 out of 5 stars
A Brief History of Modern India,https://www.amazon.com/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1,Rajiv Ahir,,140,4.2 out of 5 stars
Diary of a Wimpy Kid: The Getaway (book 12),https://www.amazon.com/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1,Jeff Kinney,,297,4.7 out of 5 stars
Quantitative Aptitude for Competitive Examinations,https://www.amazon.com/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1,R S Aggarwal,,586,4.3 out of 5 stars
Will You Still Love Me?,https://www.amazon.com/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1,RAVINDER SINGH,,77,4.8 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018,https://www.amazon.com/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1,Arihant Experts,,11,4.4 out of 5 stars
